"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月07日17時45分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月07日17時50分","139","9","0","9","0","141","0","0","0","0","0"
"2013年02月07日17時55分","108","117","1","0","0","71","0","0","0","0","0"
"2013年02月07日18時00分","122","128","27","0","0","21","0","0","0","0","0"
"2013年02月07日18時05分","86","0","26","0","0","0","187","0","0","0","0"
"2013年02月07日18時10分","0","111","19","0","0","0","39","0","0","0","128"
"2013年02月07日18時15分","53","122","78","0","0","0","0","0","0","0","44"
"2013年02月07日18時20分","0","179","6","0","0","111","0","0","0","0","0"
"2013年02月07日18時25分","0","77","123","0","0","98","0","0","0","0","0"
"2013年02月07日18時30分","18","190","90","0","0","0","0","0","0","0","0"
"2013年02月07日18時35分","132","5","5","0","0","157","0","0","0","0","0"
"2013年02月07日18時40分","41","41","102","0","0","0","0","0","0","0","112"
"2013年02月07日18時45分","0","279","3","0","0","0","0","0","0","0","0"
"2013年02月07日18時50分","0","76","24","0","0","0","171","0","0","0","27"
"2013年02月07日18時55分","0","38","4","0","0","0","20","0","0","0","0"
"2013年02月07日19時00分","0","246","51","0","0","0","0","0","0","0","0"
"2013年02月07日19時05分","7","80","201","0","0","10","0","0","0","0","0"
"2013年02月07日19時10分","156","0","0","0","0","142","0","0","0","0","0"
"2013年02月07日19時15分","183","0","1","0","0","113","0","0","0","0","0"
"2013年02月07日19時20分","16","0","0","0","0","283","0","0","0","0","0"
"2013年02月07日19時25分","0","28","1","0","0","270","0","0","0","0","0"
"2013年02月07日19時30分","83","168","9","0","0","27","0","0","0","0","11"
"2013年02月07日19時35分","37","100","12","0","0","125","0","0","0","0","14"
"2013年02月07日19時40分","127","2","0","0","0","168","0","0","0","0","0"
"2013年02月07日19時45分","213","33","1","0","0","4","0","0","0","0","6"
"2013年02月07日19時50分","13","73","14","171","0","17","0","0","0","0","9"
"2013年02月07日19時55分","0","8","286","5","0","0","0","0","0","0","0"
"2013年02月07日20時00分","0","0","228","0","0","0","0","0","0","0","0"
"2013年02月07日20時05分","5","32","231","0","0","31","0","0","0","0","0"
"2013年02月07日20時10分","53","56","0","0","0","184","0","0","0","0","4"
"2013年02月07日20時15分","66","232","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時20分","2","42","196","57","0","0","0","0","0","0","0"
"2013年02月07日20時25分","0","27","78","144","0","45","0","0","0","0","3"
"2013年02月07日20時30分","17","7","55","0","0","127","0","0","0","0","92"
"2013年02月07日20時35分","72","7","2","0","0","217","0","0","0","0","0"
"2013年02月07日20時40分","0","0","179","0","0","0","0","0","0","0","0"
