"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日20時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時35分","0","0","0","0","0","0","0","0","0","0","0"
