"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月07日14時25分","15","0","2","0","0","0","0","0","162","0","67"
"2013年02月07日14時30分","0","0","76","0","0","0","0","0","204","0","2"
"2013年02月07日14時35分","34","40","131","0","0","0","0","0","92","0","0"
"2013年02月07日14時40分","0","0","3","0","0","0","0","0","293","0","0"
"2013年02月07日14時45分","0","0","0","0","0","0","0","0","250","0","0"
"2013年02月07日14時50分","97","26","35","0","0","0","0","0","95","0","43"
"2013年02月07日14時55分","108","0","18","0","0","0","0","0","147","0","19"
"2013年02月07日15時00分","60","0","197","0","0","0","0","0","3","0","33"
"2013年02月07日15時05分","0","0","82","0","0","0","0","0","191","0","21"
"2013年02月07日15時10分","0","0","79","0","0","0","0","0","189","0","26"
"2013年02月07日15時15分","5","165","7","0","0","0","0","0","121","0","0"
"2013年02月07日15時20分","20","98","0","0","0","0","0","0","181","0","0"
"2013年02月07日15時25分","0","32","113","0","0","0","0","0","147","0","4"
"2013年02月07日15時30分","105","8","150","0","0","0","0","0","31","0","0"
"2013年02月07日15時35分","84","0","64","0","0","0","0","0","150","0","0"
"2013年02月07日15時40分","93","3","48","0","0","0","0","0","146","0","5"
"2013年02月07日15時45分","0","0","0","0","0","0","0","0","157","0","0"
"2013年02月07日15時50分","93","0","7","0","0","0","0","0","163","0","0"
"2013年02月07日15時55分","182","44","4","0","0","0","0","0","66","0","0"
"2013年02月07日16時00分","86","0","24","0","0","0","0","0","187","0","0"
"2013年02月07日16時05分","0","0","2","0","0","0","0","0","126","0","0"
"2013年02月07日16時10分","0","0","0","0","0","0","0","0","159","0","0"
"2013年02月07日16時15分","0","2","0","0","0","0","0","0","136","0","0"
"2013年02月07日16時20分","0","0","0","0","0","0","0","0","181","0","0"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","284","0","0"
"2013年02月07日16時30分","16","7","4","0","0","0","0","0","167","0","95"
"2013年02月07日16時35分","0","0","0","0","0","0","0","0","229","0","68"
"2013年02月07日16時40分","33","0","51","0","0","0","0","0","184","0","28"
"2013年02月07日16時45分","208","0","53","0","0","0","0","0","28","0","0"
"2013年02月07日16時50分","0","0","69","0","0","0","0","0","208","0","20"
"2013年02月07日16時55分","0","5","12","0","0","0","0","0","193","0","85"
"2013年02月07日17時00分","0","0","71","0","0","0","0","0","155","0","69"
"2013年02月07日17時05分","0","0","5","0","0","0","0","0","273","0","19"
"2013年02月07日17時10分","0","0","1","0","0","0","0","0","275","0","6"
"2013年02月07日17時15分","0","0","0","0","0","0","0","0","252","0","0"
"2013年02月07日17時20分","0","0","0","0","0","0","0","0","274","0","25"
"2013年02月07日17時25分","0","0","0","0","0","0","0","0","281","0","16"
"2013年02月07日17時30分","0","0","2","0","0","0","0","0","286","0","10"
"2013年02月07日17時35分","0","0","0","0","0","0","0","0","75","0","0"
"2013年02月07日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日17時45分","0","0","0","0","0","0","0","0","141","0","0"
"2013年02月07日17時50分","0","0","0","0","0","0","0","0","223","0","0"
"2013年02月07日17時55分","0","0","0","0","0","0","0","0","92","0","0"
"2013年02月07日18時00分","6","0","66","0","0","0","18","0","116","0","0"
"2013年02月07日18時05分","0","103","139","0","0","0","31","11","8","0","2"
"2013年02月07日18時10分","0","33","108","0","0","0","17","21","117","0","0"
"2013年02月07日18時15分","0","0","74","0","0","0","32","3","187","0","0"
"2013年02月07日18時20分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日18時25分","0","0","0","0","0","0","0","0","277","0","0"
"2013年02月07日18時30分","0","0","0","0","0","0","0","0","99","0","0"
"2013年02月07日18時35分","0","7","0","0","0","0","0","0","292","0","0"
"2013年02月07日18時40分","0","0","0","0","0","0","0","0","298","0","0"
"2013年02月07日18時45分","0","0","1","0","0","0","0","0","297","0","0"
"2013年02月07日18時50分","0","0","1","0","0","0","0","0","298","0","0"
"2013年02月07日18時55分","1","0","0","0","0","0","0","0","131","0","0"
"2013年02月07日19時00分","3","0","0","0","0","0","0","0","296","0","0"
"2013年02月07日19時05分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日19時10分","2","0","0","0","0","0","0","0","292","0","0"
"2013年02月07日19時15分","0","9","0","0","0","0","0","0","287","0","0"
"2013年02月07日19時20分","0","1","0","0","0","0","0","0","209","0","1"
"2013年02月07日19時25分","0","0","30","10","0","0","0","0","258","0","0"
"2013年02月07日19時30分","0","4","53","0","0","45","0","0","192","0","2"
"2013年02月07日19時35分","0","24","18","0","0","0","0","0","26","0","155"
"2013年02月08日08時50分","29","178","13","0","0","0","0","0","0","0","46"
"2013年02月08日08時55分","27","253","1","0","0","0","0","0","0","0","0"
"2013年02月08日09時00分","95","94","17","0","0","0","0","89","0","0","0"
"2013年02月08日09時05分","0","300","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時10分","0","228","0","0","0","0","0","0","68","0","0"
"2013年02月08日09時15分","0","9","1","0","0","0","0","0","165","0","0"
"2013年02月08日09時20分","0","0","3","0","0","8","0","0","288","0","0"
