"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日15時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時55分","0","0","0","4","0","0","0","0","0","0","0"
"2013年02月07日16時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時15分","0","0","0","0","0","32","0","0","0","0","0"
"2013年02月07日16時20分","0","0","0","0","0","1","0","0","0","0","0"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時45分","0","0","0","0","0","7","0","0","0","0","0"
"2013年02月07日16時50分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月07日16時55分","0","2","7","0","0","0","0","0","0","0","0"
"2013年02月07日17時00分","7","0","0","0","0","30","0","0","0","0","0"
"2013年02月07日17時05分","0","0","0","0","0","8","0","0","0","0","0"
"2013年02月07日17時10分","0","0","0","0","0","87","0","0","0","0","0"
"2013年02月07日17時15分","0","0","0","0","0","186","0","0","0","0","0"
"2013年02月07日17時20分","0","0","0","0","0","104","0","0","0","0","0"
"2013年02月07日17時25分","24","0","42","0","0","51","0","0","0","0","0"
"2013年02月07日17時30分","1","0","13","0","0","69","0","0","0","0","0"
"2013年02月07日17時35分","0","0","58","0","0","130","0","0","0","0","0"
"2013年02月07日17時40分","2","0","33","0","0","69","0","0","0","0","0"
"2013年02月07日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日17時50分","0","0","0","0","0","32","0","0","0","0","0"
"2013年02月07日17時55分","0","17","0","0","0","0","0","0","0","0","0"
"2013年02月07日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日18時05分","0","0","15","0","0","0","166","0","0","0","0"
"2013年02月07日18時10分","0","102","12","0","0","0","12","0","0","0","7"
"2013年02月07日18時15分","3","2","8","0","0","0","0","0","0","0","2"
"2013年02月07日18時20分","0","130","3","0","0","5","0","0","0","0","0"
"2013年02月07日18時25分","0","146","0","0","0","0","0","0","0","0","0"
"2013年02月07日18時30分","0","0","3","0","0","0","0","0","0","0","0"
"2013年02月07日18時35分","0","0","17","0","0","2","0","0","0","0","0"
"2013年02月07日18時40分","7","2","42","0","0","0","0","0","0","0","3"
"2013年02月07日18時45分","0","124","0","0","0","0","0","0","0","0","0"
"2013年02月07日18時50分","0","195","6","0","0","0","0","0","0","0","21"
"2013年02月07日18時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日19時00分","0","100","5","0","0","0","0","0","0","0","0"
"2013年02月07日19時05分","0","2","0","0","0","1","0","0","0","0","0"
"2013年02月07日19時10分","0","0","0","0","0","7","0","0","0","0","0"
