"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月12日18時05分","43","0","0","0","0","0","0","0","0","0","2"
"2013年02月12日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時50分","0","11","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時55分","0","0","0","0","0","0","0","0","3","0","43"
"2013年02月12日19時00分","24","0","0","0","0","0","0","0","21","0","8"
"2013年02月12日19時05分","11","0","20","0","0","0","0","0","21","0","4"
"2013年02月12日19時10分","0","0","0","0","0","0","0","0","0","0","29"
"2013年02月12日19時15分","0","0","0","0","0","0","0","0","0","0","108"
"2013年02月12日19時20分","0","0","0","0","0","0","0","0","0","0","7"
"2013年02月12日19時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日19時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日19時35分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月12日19時40分","0","0","0","0","0","2","0","0","43","0","0"
"2013年02月12日19時45分","50","0","0","0","0","0","0","0","2","0","16"
"2013年02月12日19時50分","0","0","0","0","0","2","0","0","488","0","5"
"2013年02月12日19時55分","52","0","0","0","0","0","0","0","1","0","0"
"2013年02月12日20時00分","48","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日20時05分","126","0","0","0","0","0","0","0","0","0","3"
"2013年02月13日09時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月13日09時05分","0","0","0","0","0","0","0","0","22","0","0"
"2013年02月13日09時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月13日09時15分","2","0","0","0","0","0","0","0","0","0","0"
"2013年02月13日09時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月13日09時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月13日09時30分","0","0","0","0","0","0","0","0","0","0","0"
