Task name,start time,end time,left click,right click,keystroke
browsing,20130204:111122,20130204:111123,0,0,0
browsing,20130204:111123,20130204:111132,0,0,0
others,20130204:111132,20130204:111134,0,0,2
browsing,20130204:111134,20130204:111153,0,0,0
browsing,20130204:111153,20130204:111220,0,0,0
browsing,20130204:111220,20130204:111458,0,0,140
others,20130204:111458,20130204:111459,0,0,0
others,20130204:111459,20130204:111500,0,0,0
browsing,20130204:111500,20130204:111502,0,0,0
Excel,20130204:111502,20130204:111505,0,0,0
Excel,20130204:111505,20130204:111506,0,0,0
file operation,20130204:111506,20130204:111508,0,0,0
file operation,20130204:111509,20130204:111553,0,0,0
file operation,20130204:111553,20130204:111602,0,0,0
file operation,20130204:111602,20130204:111610,0,0,0
browsing,20130204:111610,20130204:111613,0,0,0
Excel,20130204:111613,20130204:111614,0,0,0
file operation,20130204:111614,20130204:111621,0,0,12
file operation,20130204:111621,20130204:111623,0,0,0
file operation,20130204:111623,20130204:111625,0,0,0
file operation,20130204:111625,20130204:111626,0,0,0
file operation,20130204:111626,20130204:111635,0,0,0
others,20130204:111636,20130204:111641,0,0,0
others,20130204:111641,20130204:111645,0,0,2
others,20130204:111645,20130204:111648,0,0,0
others,20130204:111648,20130204:111655,0,0,8
email,20130204:111655,20130204:111704,0,0,0
Excel,20130204:111704,20130204:111707,0,0,0
email,20130204:111707,20130204:111708,0,0,0
email,20130204:111708,20130204:111713,0,0,2
others,20130204:111713,20130204:111715,0,0,3
email,20130204:111715,20130204:111718,0,0,0
email,20130204:111718,20130204:111749,0,0,0
others,20130204:111749,20130204:111751,0,0,0
file operation,20130204:111751,20130204:111753,0,0,0
others,20130204:111753,20130204:111754,0,0,0
others,20130204:111754,20130204:111755,0,0,0
others,20130204:111755,20130204:111756,0,0,0
file operation,20130204:111756,20130204:111757,0,0,0
others,20130204:111757,20130204:111758,0,0,0
others,20130204:111758,20130204:111802,0,0,0
others,20130204:111802,20130204:111807,0,0,0
others,20130204:111807,20130204:111808,0,0,0
others,20130204:111808,20130204:111814,0,0,0
file operation,20130204:111814,20130204:111815,0,0,0
file operation,20130204:111815,20130204:111816,0,0,0
file operation,20130204:111816,20130204:111817,0,0,0
file operation,20130204:111817,20130204:111822,0,0,0
others,20130204:111822,20130204:111823,0,0,0
others,20130204:111823,20130204:111826,0,0,0
file operation,20130204:111826,20130204:111828,0,0,0
others,20130204:111828,20130204:111830,0,0,0
file operation,20130204:111830,20130204:111832,0,0,0
file operation,20130204:111832,20130204:111834,0,0,0
file operation,20130204:111834,20130204:111842,0,0,0
Excel,20130204:111842,20130204:111859,0,0,0
others,20130204:111859,20130204:111904,0,0,0
Excel,20130204:111904,20130204:111905,0,0,0
Excel,20130204:111907,20130204:111908,0,0,0
others,20130204:111908,20130204:111909,0,0,0
others,20130204:111909,20130204:111919,0,0,0
others,20130204:111919,20130204:111920,0,0,0
others,20130204:111920,20130204:111930,0,0,0
others,20130204:111930,20130204:111935,0,0,0
others,20130204:111935,20130204:111938,0,0,0
Excel,20130204:111938,20130204:111940,0,0,0
others,20130204:111940,20130204:112006,0,0,62
others,20130204:112006,20130204:112008,0,0,4
Excel,20130204:112008,20130204:112011,0,0,0
others,20130204:112011,20130204:112022,0,0,0
others,20130204:112022,20130204:112027,0,0,4
others,20130204:112027,20130204:112030,0,0,0
others,20130204:112030,20130204:112042,0,0,2
Excel,20130204:112042,20130204:112150,0,0,94
others,20130204:112150,20130204:112153,0,0,0
others,20130204:112153,20130204:112155,0,0,0
others,20130204:112155,20130204:112200,0,0,0
Excel,20130204:112200,20130204:112209,0,0,0
