"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日16時40分","0","2","0","0","0","0","0","0","0","90","0"
"2013年02月07日16時45分","20","0","0","0","0","0","0","0","0","145","0"
"2013年02月07日16時50分","10","0","0","0","7","0","0","0","3","241","1"
"2013年02月07日16時55分","0","0","0","0","159","0","0","0","0","11","0"
"2013年02月07日17時00分","0","0","0","0","0","0","0","0","0","305","0"
"2013年02月07日17時05分","0","0","0","0","0","0","0","0","0","18","0"
"2013年02月07日17時10分","0","0","0","0","0","0","0","0","0","69","0"
"2013年02月07日17時15分","0","0","0","0","29","0","0","0","0","109","0"
"2013年02月07日17時20分","0","0","27","101","3","0","0","0","6","0","0"
"2013年02月07日17時25分","0","0","48","13","4","0","0","0","0","0","0"
"2013年02月07日17時30分","0","0","0","0","0","0","0","0","0","88","0"
"2013年02月07日17時35分","0","1","0","0","0","0","0","0","0","17","0"
"2013年02月07日17時40分","0","0","0","0","34","0","0","0","0","103","0"
"2013年02月07日17時45分","0","0","0","25","0","0","0","0","0","58","0"
"2013年02月07日17時50分","0","0","20","55","0","0","0","0","0","75","0"
"2013年02月07日17時55分","0","0","0","0","0","0","0","0","54","171","0"
"2013年02月07日18時00分","0","0","0","0","0","0","0","0","0","149","0"
"2013年02月07日18時05分","0","0","0","0","0","0","0","0","0","107","0"
"2013年02月07日18時10分","0","0","0","0","0","0","0","0","0","53","0"
"2013年02月07日18時15分","105","1","17","0","0","0","0","0","11","14","0"
"2013年02月07日18時20分","78","0","0","0","0","0","0","0","25","15","0"
"2013年02月07日18時25分","1","0","0","0","0","0","0","0","10","0","0"
"2013年02月07日18時30分","0","0","0","0","0","0","0","0","0","0","6"
"2013年02月07日18時35分","0","0","0","0","0","0","0","0","0","135","0"
"2013年02月07日18時40分","0","0","0","0","0","0","0","0","0","146","0"
"2013年02月07日18時45分","0","0","0","16","0","0","0","0","0","125","0"
"2013年02月07日18時50分","25","0","0","0","0","0","0","0","0","71","0"
"2013年02月07日18時55分","21","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日19時00分","23","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日19時05分","0","0","4","0","27","0","0","0","0","0","0"
"2013年02月07日19時10分","12","0","15","0","1","0","0","0","47","0","0"
"2013年02月07日19時15分","0","0","6","0","0","0","0","0","8","11","0"
